college_students,C2
high_school_graduate,C3
students,C4
university_students,C5
african_american,I6
black,I7
black_kids,I8
black_lives_matter,I9
blm,I10
black_people,I11
black_women,I12
blacks,I13
amazon,C14
apple,C15
disney,C16
facebook,C17
google,C18
netflix,C19
silicon_valley,C20
tech,C21
technologies,C22
twitter,C23
zte,C24
tech_companies,C25
big_tech,C26
abc,C27
anchors,C28
bbc,C29
cbs,C30
cnn,C31
commercial_television,C32
correspondent,C33
correspondents,C34
fox,C35
fox_news,C36
hollywood,C37
journalism,C38
journalist,C39
journalists,C40
late_night_shows,C41
los_angeles_times,C42
mcclatchy_news,C43
media,C44
media_matters,C45
msnbc,C46
nbc,C47
networks,C48
new_york_media_market,C49
new_york_times,C50
new_york_post,C51
news,C52
newsweek,C53
press,C54
pundits,C55
radio,C56
reporters,C57
social_media,C58
tbs,C59
television,C60
the_view,C61
tv,C62
usa_today,C63
vanity_fair,C64
washington_post,C65
wall_street_journal,C66
fourth_estate,C67
indian,I68
indians,I69
white,I70
white_men,I71
white_patriarchal,I72
whites,I73
asian,F74
asians,F75
athiest,I76
atheists,I77
athletes,C78
eagles,C79
football,C80
nfl,C81
white_fans,C82
white_players,C83
austria,F84
british,F85
england,F86
uk,F87
european_leaders,F88
european_union,F89
europeans,F90
france,F91
french,F92
germans,F93
germany,F94
california,O95
north_carolina,O96
religious,I97
believer,I98
religious_americans,I99
bisexual,I100
gay,I101
gays,I102
homosexual,I103
lesbian,I104
lgbt,I105
same_sex,I106
trans,I107
transgender,I108
christian,I109
christians,I110
preachers,I111
bible_thumpers,I112
comics,C113
comedian,C114
comedians,C115
comediens,C116
actors,C117
celebrities,C118
cops,C119
law_enforcement,C120
police,C121
america,I122
american_people,I123
americans,I124
country,I125
half_a_country,I126
nation,I127
population,I128
united_states,I129
u.s.,I130
us_citizens,I131
U.S.,I132
usa,I133
elite,O134
elites,O135
billionaires,O136
one_percent,O137
rich,O138
upperclass,O139
power_centers,O140
globalist,O141
globalists,O142
female,I143
females,I144
feminist,I145
feminists,I146
girl,I147
girls,I148
me_too_era,I149
woman,I150
women,I151
foreign,F152
jew,I153
jewish,I154
jews,I155
rabbis,I156
saudi,F157
saudi_arabia,F158
saudis,F159
homeless,O160
mexican,F161
mexicans,F162
mexico,F163
mexico_city,F164
interest_groups,C165
lobbyist,C166
lobbyists,C167
israel,F168
israeli,F169
italy,F170
alien,I171
aliens,I172
anchor_baby,I173
caravan,I174
dreamers,I175
immigrant,I176
immigrants,I177
migrant,I178
migrants,I179
foreigners (domestic),I180
people_with_green_cards,I181
refugee,I182
refugees,I183
africa,F184
african,F185
africans,F186
blue_collared,O187
low_socioeconomic_status,O188
lowerclass,O189
medicare_recipients,O190
poor,O191
poor_people,O192
farmers,O193
rural,O194
middle_class,C195
did_not_go_to_college,I196
did_not_graduate,I197
uneducated,I198
foster_care_system,O199
capitalist,C200
korean_peninsula,F201
north_korea,F202
north_korean,F203
north_koreans,F204
baltimore,O205
city,O206
d.c.,O207
districts,O208
ferguson,O209
ithica,O210
new_york_city,O211
san_francisco,O212
urban,O213
indigenous,I214
native_american,I215
native_americans,I216
natives,I217
union,C218
moscow,F219
russia,F220
russian,F221
russian,F222
russians,F223
soviet_union,F224
kids_of_color,I225
minorities,I226
minority,I227
seventeen_eighteen_\-year\-olds,I228
third_world,F229
australians,F230
big_banks,C231
credit_card_companies,C232
jp_morgan,C233
lenders,C234
student_loan_processes,C235
bankers,C236
banks,C237
canada,F238
canadian,F239
canadians,F240
central_african_republic,F241
islam,I242
islamic,I243
islamist,I244
mullahs,I245
muslim,I246
muslims,I247
afghanistan,F248
afghans,F249
social_justice_warriors,O250
protester,O251
protesters,O252
social_activists,O253
vegans,O254
cnn_viewers,O255
lawyers,C256
men,I257
millennials,I258
hispanic,I259
hispanic_kids,I260
hispanics,I261
illegals,I262
latina,I263
latino,I264
latinos,I265
china,F266
chinese,F267
japan,F268
japanese,F269
korean,F270
koreans,F271
south_korean,F272
pacific_islander,F273
philippines,F274
singapore,F275
arab,F276
egypt,F277
iran,F278
iranian,F279
iranians,F280
morocco,F281
pakistan,F282
somalis,F283
yemen,F284
yemenis,F285
brazil,F286
central_america,F287
cuba,F288
cuban,F289
el_salvador,F290
guatemala,F291
guatemalans,F292
hondurans,F293
honduras,F294
jamaica,F295
latin_america,F296
nicaraguan,F297
south_america,F298
venezuelan,F299
venezuela,F300
caracas,F301
ukraine,F302
academia,C303
academics,C304
college,C305
colleges,C306
intellectual,C307
intellectuals,C308
universities,C309
analysts,C310
bureaucrats,C311
diplomats,C312
judges,C313
politicians,C314
washington,C315
establishment,C316
brown,I317
palestine,F318
turkey,F319
Liberal,P320
Kamala_supporters,P321
Kamala_voters,P322
dem,P323
democrat,P324
democrats,P325
dems,P326
dnc,P327
left_wing,P328
lib,P329
liberal,P330
liberals,P331
liberalism,P332
libs,P333
biden_supporters,P334
biden_voters,P335
progressives,P336
social_democrats,P337
socialism,P338
socialist,P339
corporate_democrats,P340
progressive,P341
socialists,P342
democratic_socialist,P343
democratic_socialists,P344
anti-clinton,P345
far_left,P346
left_leaning,P347
Conservatives,P348
trump_supporters,P349
trump_voters,P350
republican,P351
republican_party,P352
republicans,P353
rnc,P354
right_wing,P355
libertarian,P356
libertarians,P357
libertarianism,P358
small_government,P359
conservative,P360
conservatism,P361
conservatives,P362
gop,P363
anti-trump,P364
rhinos,P365
tea_party,P366
far_right,P367
right_leaning,P368
MAGA,P369
